ASK RESULTS,,,,,,,
"Each row of the raw data on the Ask and Framing tabs refers, respectively to: (1) a potential Ask action e.g., ""contact""=PERFORM on the Ask tab; or (2) a potential Framing action, e.g., ""win""=GAIN on the Framing tab. Potential Asks and Framings are extracted from a set of anonymized emails---a pool of Panacea team members' collected suspected scam/impersonation emails---using dependency/constituency parsing and semantic role labeling (SRL). If an Ask (GIVE, PERFORM) or Framing (GAIN, LOSE) is assigned by Panacea Ask Detection, the cell will indicate this assignment, e.g., ""Ask:PERFORM Verb:contact"".  On the TopAsk tab: (3) all top ask assignments are marked ""Top:X"". For all three tabs, each column (0-6) is an experimental condition, such as ""no LCS, no CatVar, No Verbal(VB) processing, No Structural(URL) processing"". If the word ""No"" is in front of a condition, it means it is not used in the experiment; if ""No"" is absent, then the condition is used in the experiment.  Finally, for all three tabs, each cell is marked as one of four outcomes of the Panacea Ask/Framing Detection system, measured against Ground Truth: True Positive (TP), True Negative (TN), False Positive (FP), False Negative (FN). Ground truth is available on the Ask Detection website. Also, see Dorr et al., AAAI 2020 for overall Precision, Recall, and F results based on these outcomes.",,,,,,,
,,,,,,,
CASES,,,,,,,
Case Index,Case,,,,,,
0,No LCS No Catvar No VB No URL,,,,,,
1,LCS No Catvar No VB No URL,,,,,,
2,LCS+ No Catvar No VB No URL,,,,,,
3,LCS+ No Catvar VB No URL,,,,,,
4,LCS+ Catvar VB No URL,,,,,,
5,LCS+ Catvar VB Basic URL,,,,,,
6,LCS+ Catvar VB Advanced URL,,,,,,
,,,,,,,
RAW DATA,,,,,,,
Case Index-->,0,1,2,3,4,5,6
1,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck,TN: 1 Ask: Verb:stuck
2,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am,TN: 2 Ask: Verb:am
3,FN: 1 Ask: Verb:help,FN: 1 Ask: Verb:help,TP: 1 Ask:PERFORM Verb:help,TP: 1 Ask:PERFORM Verb:help,TP: 1 Ask:PERFORM Verb:help,TP: 1 Ask:PERFORM Verb:help,TP: 1 Ask:PERFORM Verb:help
4,FN: 2 Ask: Verb:sending,FP: 1 Ask:GIVE Verb:sending,TP: 2 Ask:PERFORM Verb:sending,FN: 1 Ask: Verb:sending,FN: 1 Ask: Verb:sending,FN: 1 Ask: Verb:sending,FN: 1 Ask: Verb:sending
5,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello,TN: 3 Ask: Verb:hello
6,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow,TN: 4 Ask: Verb:wow
