Human Adjudicated GT,,,,,,,,,,,
"This is a Human Adjudicated GT for a set of anonymized emails---suspected scam/impersonation emails collected by Panacea team members---wherein each row consists of an email number (1 is the first email in the pool), a sentence from that email, a potential Ask or Framing action (e.g., ""contact"", ""win""), arguments of that action, confidence score associated with Ask or Framing (if there is one), the Ask (e.g., ""contact""=PERFORM), the Framing (e.g., ""win""=GAIN), an Ask or Framing structure (including URL).  If there is an Ask, the designation as Top Ask is marked X if it is a top ask (or unmarked if not), and an Ask Category is provided. Potential Asks and Framings are extracted using dependency/constituency parsing and semantic role labeling (SRL). Experimental data associated with this Ground truth are available on the Ask Detection website. Note: The Case Index in GT is aligned with the Case Index in the Experimental Data. Also, see Dorr et al., AAAI 2020 for overall Precision, Recall, and F results based on these outcomes.",,,,,,,,,,,
,,,,,,,,,,,
Case Index,Email,Sentence,Action,Arg1,Arg2,Confidence,Ask,Framing,Ask or Framing Representation,Top Ask,Ask Category
1,1,I am stuck at the airport.,stuck,i,at the airport,0.9,,LOSE,<LOSE[stuck[i()[]]]>,,
2,1,I am stuck at the airport.,am,i,stuck at the airport,,,,<[am[i()[]]]>,,
3,1, Please help me out by sending $5000,help,me,by sending $ 5000,0.8,PERFORM,,<PERFORM[help[me()['finance_money']]]>,X,finance_money
4,1, Please help me out by sending $5000,sending,"$5,000 ",,0,PERFORM,,<PERFORM[sending[$ 5000()['finance_money']]]>,,finance_money
5,2,Hello Wow!!!,hello,,,,,,<[hello[()[]]]>,,
6,2,Hello Wow!!!,wow,,,,,,<[wow[()[]]]>,,
7,2, Congratulation,congratulation,,,,,,<[congratulation[()[]]]>,,
8,2,"It is a great pleasure to inform you that you have won the sum of 1,750,000.00 Euro !!",inform,you,"that you have won the sum of 1,750,000.00 euro",,,,<[inform[you()['finance_money']]]>,,finance_money
9,2,"It is a great pleasure to inform you that you have won the sum of 1,750,000.00 Euro !!",is,"to inform you that you have won the sum of 1,750,000.00 euro",a great pleasure,,,,"<[is[to inform you that you have won the sum of 1,750,000.00 euro()['finance_money']]]>",,finance_money
10,2,"It is a great pleasure to inform you that you have won the sum of 1,750,000.00 Euro !!",have,,,,,,<[have[()[]]]>,,
11,2,"It is a great pleasure to inform you that you have won the sum of 1,750,000.00 Euro !!",won,"the sum of 1,750,000.00 euro",,0.9,,GAIN,"<GAIN[won[the sum of 1,750,000.00 euro()['finance_money']]]>",,finance_money
12,2,"For more inquiries, quickly contact me through this Email address.",contact,me,,0.9,PERFORM,,<PERFORM[contact[me(0)[]]]>,X,
13,2,.,.,,,,,,<[.[()[]]]>,,
14,2,(   jw11@example.com ),jw11@example.com,,,,,,<[jw11@example.com[()[]]]>,,
15,2,"Yours faithfully, Joe",yours,,,,,,<[yours[()[]]]>,,
