FRAMING RESULTS,,,,,,,
"Each row of the raw data on the Ask and Framing tabs refers, respectively to: (1) a potential Ask action e.g., ""contact""=PERFORM on the Ask tab; or (2) a potential Framing action, e.g., ""win""=GAIN on the Framing tab. Potential Asks and Framings are extracted from a set of anonymized emails---suspected scam/impersonation emails collected by Panacea team members---using dependency/constituency parsing and semantic role labeling (SRL). If an Ask (GIVE, PERFORM) or Framing (GAIN, LOSE) is assigned by Panacea Ask Detection, the cell will indicate this assignment, e.g., ""Ask:PERFORM Verb:contact"".  On the TopAsk tab: (3) all top ask assignments are marked ""Top:X"". For all three tabs, each column (0-6) is an experimental condition, such as ""no LCS, no CatVar, No Verbal(VB) processing, No Structural(URL) processing"". If the word ""No"" is in front of a condition, it means it is not used in the experiment; if ""No"" is absent, then the condition is used in the experiment.  Finally, for all three tabs, each cell is marked as one of four outcomes of the Panacea Ask/Framing Detection system, measured against Ground Truth: True Positive (TP), True Negative (TN), False Positive (FP), False Negative (FN). Ground truth is available on the Ask Detection website. Note: The Case Index in GT is aligned with the Case Index in the Experimental Data. Also, see Dorr et al., AAAI 2020 for overall Precision, Recall, and F results based on these outcomes.",,,,,,,
,,,,,,,
CASES,,,,,,,
Case Index,Case,,,,,,
0,No LCS No Catvar No VB No URL,,,,,,
1,LCS No Catvar No VB No URL,,,,,,
2,LCS+ No Catvar No VB No URL,,,,,,
3,LCS+ No Catvar VB No URL,,,,,,
4,LCS+ Catvar VB No URL,,,,,,
5,LCS+ Catvar VB Basic URL,,,,,,
6,LCS+ Catvar VB Advanced URL,,,,,,
,,,,,,,
RAW DATA,,,,,,,
Case Index-->,0,1,2,3,4,5,6
1,FN: 1 Framing: Verb:stuck,TP: 1 Framing:LOSE Verb:stuck,TP: 1 Framing:LOSE Verb:stuck,TP: 1 Framing:LOSE Verb:stuck,TP: 1 Framing:LOSE Verb:stuck,TP: 1 Framing:LOSE Verb:stuck,TP: 1 Framing:LOSE Verb:stuck
2,TN: 1 Framing: Verb:am,TN: 1 Framing: Verb:am,TN: 1 Framing: Verb:am,TN: 1 Framing: Verb:am,TN: 1 Framing: Verb:am,TN: 1 Framing: Verb:am,TN: 1 Framing: Verb:am
3,TN: 2 Framing: Verb:help,TN: 2 Framing: Verb:help,TN: 2 Framing: Verb:help,TN: 2 Framing: Verb:help,TN: 2 Framing: Verb:help,TN: 2 Framing: Verb:help,TN: 2 Framing: Verb:help
4,TN: 3 Framing: Verb:sending,TN: 3 Framing: Verb:sending,TN: 3 Framing: Verb:sending,TN: 3 Framing: Verb:sending,TN: 3 Framing: Verb:sending,TN: 3 Framing: Verb:sending,TN: 3 Framing: Verb:sending
5,TN: 4 Framing: Verb:hello,TN: 4 Framing: Verb:hello,TN: 4 Framing: Verb:hello,TN: 4 Framing: Verb:hello,TN: 4 Framing: Verb:hello,TN: 4 Framing: Verb:hello,TN: 4 Framing: Verb:hello
6,TN: 5 Framing: Verb:wow,FP: 1 Framing:LOSE Verb:wow,TN: 5 Framing: Verb:wow,TN: 5 Framing: Verb:wow,TN: 5 Framing: Verb:wow,TN: 5 Framing: Verb:wow,TN: 5 Framing: Verb:wow
7,TN: 6 Framing: Verb:congratulation,TN: 5 Framing: Verb:congratulation,TN: 6 Framing: Verb:congratulation,TN: 6 Framing: Verb:congratulation,TN: 6 Framing: Verb:congratulation,TN: 6 Framing: Verb:congratulation,TN: 6 Framing: Verb:congratulation
8,TN: 7 Framing: Verb:inform,TN: 6 Framing: Verb:inform,TN: 7 Framing: Verb:inform,TN: 7 Framing: Verb:inform,TN: 7 Framing: Verb:inform,TN: 7 Framing: Verb:inform,TN: 7 Framing: Verb:inform
9,TN: 8 Framing: Verb:is,TN: 7 Framing: Verb:is,TN: 8 Framing: Verb:is,TN: 8 Framing: Verb:is,TN: 8 Framing: Verb:is,TN: 8 Framing: Verb:is,TN: 8 Framing: Verb:is
10,FP: 1 Framing:GAIN Verb:have,TN: 8 Framing: Verb:have,TN: 9 Framing: Verb:have,TN: 9 Framing: Verb:have,TN: 9 Framing: Verb:have,TN: 9 Framing: Verb:have,TN: 9 Framing: Verb:have
11,FN: 2 Framing: Verb:won,TP: 2 Framing:GAIN Verb:won,TP: 2 Framing:GAIN Verb:won,TP: 2 Framing:GAIN Verb:won,TP: 2 Framing:GAIN Verb:won,TP: 2 Framing:GAIN Verb:won,TP: 2 Framing:GAIN Verb:won
12,TN: 9 Framing: Verb:contact,TN: 9 Framing: Verb:contact,TN: 10 Framing: Verb:contact,TN: 10 Framing: Verb:contact,TN: 10 Framing: Verb:contact,TN: 10 Framing: Verb:contact,TN: 10 Framing: Verb:contact
13,TN: 10 Framing: Verb:.,TN: 10 Framing: Verb:.,TN: 11 Framing: Verb:.,TN: 11 Framing: Verb:.,TN: 11 Framing: Verb:.,TN: 11 Framing: Verb:.,TN: 11 Framing: Verb:.
14,TN: 11 Framing: Verb:jw11@example.com,TN: 11 Framing: Verb:jw11@example.com,TN: 12 Framing: Verb:jw11@example.com,TN: 12 Framing: Verb:jw11@example.com,TN: 12 Framing: Verb:jw11@example.com,TN: 12 Framing: Verb:jw11@example.com,TN: 12 Framing: Verb:jw11@example.com
15,TN: 12 Framing: Verb:yours,TN: 12 Framing: Verb:yours,TN: 13 Framing: Verb:yours,TN: 13 Framing: Verb:yours,TN: 13 Framing: Verb:yours,TN: 13 Framing: Verb:yours,TN: 13 Framing: Verb:yours
16,TN: 13 Framing: Verb:--,TN: 13 Framing: Verb:--,TN: 14 Framing: Verb:--,TN: 14 Framing: Verb:--,TN: 14 Framing: Verb:--,TN: 14 Framing: Verb:--,TN: 14 Framing: Verb:--
17,TN: 14 Framing: Verb:director,TN: 14 Framing: Verb:director,TN: 15 Framing: Verb:director,TN: 15 Framing: Verb:director,TN: 15 Framing: Verb:director,TN: 15 Framing: Verb:director,TN: 15 Framing: Verb:director
18,TN: 15 Framing: Verb:austin,TN: 15 Framing: Verb:austin,TN: 16 Framing: Verb:austin,TN: 16 Framing: Verb:austin,TN: 16 Framing: Verb:austin,TN: 16 Framing: Verb:austin,TN: 16 Framing: Verb:austin
19,TN: 16 Framing: Verb:hello,TN: 16 Framing: Verb:hello,TN: 17 Framing: Verb:hello,TN: 17 Framing: Verb:hello,TN: 17 Framing: Verb:hello,TN: 17 Framing: Verb:hello,TN: 17 Framing: Verb:hello
20,TN: 17 Framing: Verb:sent,TN: 17 Framing: Verb:sent,TN: 18 Framing: Verb:sent,TN: 18 Framing: Verb:sent,TN: 18 Framing: Verb:sent,TN: 18 Framing: Verb:sent,TN: 18 Framing: Verb:sent
21,TN: 18 Framing: Verb:url,TN: 18 Framing: Verb:url,TN: 19 Framing: Verb:url,TN: 19 Framing: Verb:url,TN: 19 Framing: Verb:url,TN: 19 Framing: Verb:url,TN: 19 Framing: Verb:url
22,TN: 19 Framing: Verb:signing,TN: 19 Framing: Verb:signing,TN: 20 Framing: Verb:signing,TN: 20 Framing: Verb:signing,TN: 20 Framing: Verb:signing,TN: 20 Framing: Verb:signing,TN: 20 Framing: Verb:signing
23,TN: 20 Framing: Verb:use,TN: 20 Framing: Verb:use,TN: 21 Framing: Verb:use,TN: 21 Framing: Verb:use,TN: 21 Framing: Verb:use,TN: 21 Framing: Verb:use,TN: 21 Framing: Verb:use
24,TN: 21 Framing: Verb:following,TN: 21 Framing: Verb:following,TN: 22 Framing: Verb:following,TN: 22 Framing: Verb:following,TN: 22 Framing: Verb:following,TN: 22 Framing: Verb:following,TN: 22 Framing: Verb:following
25,TN: 22 Framing: Verb:complete,TN: 22 Framing: Verb:complete,TN: 23 Framing: Verb:complete,TN: 23 Framing: Verb:complete,TN: 23 Framing: Verb:complete,TN: 23 Framing: Verb:complete,TN: 23 Framing: Verb:complete
26,TN: 23 Framing: Verb:15966,TN: 23 Framing: Verb:15966,TN: 24 Framing: Verb:15966,TN: 24 Framing: Verb:15966,TN: 24 Framing: Verb:15966,TN: 24 Framing: Verb:15966,TN: 24 Framing: Verb:15966
27,TN: 24 Framing: Verb:thanks,TN: 24 Framing: Verb:thanks,TN: 25 Framing: Verb:thanks,TN: 25 Framing: Verb:thanks,TN: 25 Framing: Verb:thanks,TN: 25 Framing: Verb:thanks,TN: 25 Framing: Verb:thanks
28,TN: 25 Framing: Verb:newspost,TN: 25 Framing: Verb:newspost,TN: 26 Framing: Verb:newspost,TN: 26 Framing: Verb:newspost,TN: 26 Framing: Verb:newspost,TN: 26 Framing: Verb:newspost,TN: 26 Framing: Verb:newspost
29,TN: 26 Framing: Verb:ask,TN: 26 Framing: Verb:ask,TN: 27 Framing: Verb:ask,TN: 27 Framing: Verb:ask,TN: 27 Framing: Verb:ask,TN: 27 Framing: Verb:ask,TN: 27 Framing: Verb:ask
30,TN: 27 Framing: Verb:go,TN: 27 Framing: Verb:go,TN: 28 Framing: Verb:go,TN: 28 Framing: Verb:go,TN: 28 Framing: Verb:go,TN: 28 Framing: Verb:go,TN: 28 Framing: Verb:go
31,TN: 28 Framing: Verb:do,TN: 28 Framing: Verb:do,TN: 29 Framing: Verb:do,TN: 29 Framing: Verb:do,TN: 29 Framing: Verb:do,TN: 29 Framing: Verb:do,TN: 29 Framing: Verb:do
32,TN: 29 Framing: Verb:trust,TN: 29 Framing: Verb:trust,TN: 30 Framing: Verb:trust,TN: 30 Framing: Verb:trust,TN: 30 Framing: Verb:trust,TN: 30 Framing: Verb:trust,TN: 30 Framing: Verb:trust
33,TN: 30 Framing: Verb:employees,TN: 30 Framing: Verb:employees,TN: 31 Framing: Verb:employees,TN: 31 Framing: Verb:employees,TN: 31 Framing: Verb:employees,TN: 31 Framing: Verb:employees,TN: 31 Framing: Verb:employees
34,TN: 31 Framing: Verb:able,TN: 31 Framing: Verb:able,TN: 32 Framing: Verb:able,TN: 32 Framing: Verb:able,TN: 32 Framing: Verb:able,TN: 32 Framing: Verb:able,TN: 32 Framing: Verb:able
35,TN: 32 Framing: Verb:be,TN: 32 Framing: Verb:be,TN: 33 Framing: Verb:be,TN: 33 Framing: Verb:be,TN: 33 Framing: Verb:be,TN: 33 Framing: Verb:be,TN: 33 Framing: Verb:be
36,TP: 1 Framing:GAIN Verb:get,TP: 3 Framing:GAIN Verb:get,TP: 3 Framing:GAIN Verb:get,TP: 3 Framing:GAIN Verb:get,TP: 3 Framing:GAIN Verb:get,TP: 3 Framing:GAIN Verb:get,TP: 3 Framing:GAIN Verb:get
37,TN: 33 Framing: Verb:check,TN: 33 Framing: Verb:check,TN: 34 Framing: Verb:check,TN: 34 Framing: Verb:check,TN: 34 Framing: Verb:check,TN: 34 Framing: Verb:check,TN: 34 Framing: Verb:check
38,TN: 34 Framing: Verb:work,TN: 34 Framing: Verb:work,TN: 35 Framing: Verb:work,TN: 35 Framing: Verb:work,TN: 35 Framing: Verb:work,TN: 35 Framing: Verb:work,TN: 35 Framing: Verb:work
39,TN: 35 Framing: Verb:copy,TN: 35 Framing: Verb:copy,TN: 36 Framing: Verb:copy,TN: 36 Framing: Verb:copy,TN: 36 Framing: Verb:copy,TN: 36 Framing: Verb:copy,TN: 36 Framing: Verb:copy
40,TN: 36 Framing: Verb:paste,TN: 36 Framing: Verb:paste,TN: 37 Framing: Verb:paste,TN: 37 Framing: Verb:paste,TN: 37 Framing: Verb:paste,TN: 37 Framing: Verb:paste,TN: 37 Framing: Verb:paste
41,TN: 37 Framing: Verb:following,TN: 37 Framing: Verb:following,TN: 38 Framing: Verb:following,TN: 38 Framing: Verb:following,TN: 38 Framing: Verb:following,TN: 38 Framing: Verb:following,TN: 38 Framing: Verb:following
42,TN: 38 Framing: Verb:url,TN: 38 Framing: Verb:url,TN: 39 Framing: Verb:url,TN: 39 Framing: Verb:url,TN: 39 Framing: Verb:url,TN: 39 Framing: Verb:url,TN: 39 Framing: Verb:url
43,TN: 39 Framing: Verb:does,TN: 39 Framing: Verb:does,TN: 40 Framing: Verb:does,TN: 40 Framing: Verb:does,TN: 40 Framing: Verb:does,TN: 40 Framing: Verb:does,TN: 40 Framing: Verb:does
44,TN: 40 Framing: Verb:regards,TN: 40 Framing: Verb:regards,TN: 41 Framing: Verb:regards,TN: 41 Framing: Verb:regards,TN: 41 Framing: Verb:regards,TN: 41 Framing: Verb:regards,TN: 41 Framing: Verb:regards
45,TN: 41 Framing: Verb:richard,TN: 41 Framing: Verb:richard,TN: 42 Framing: Verb:richard,TN: 42 Framing: Verb:richard,TN: 42 Framing: Verb:richard,TN: 42 Framing: Verb:richard,TN: 42 Framing: Verb:richard
46,TN: 42 Framing: Verb:sign,TN: 42 Framing: Verb:sign,TN: 43 Framing: Verb:sign,TN: 43 Framing: Verb:sign,TN: 43 Framing: Verb:sign,TN: 43 Framing: Verb:sign,TN: 43 Framing: Verb:sign
47,TN: 43 Framing: Verb:receive,TN: 43 Framing: Verb:receive,TN: 44 Framing: Verb:receive,TN: 44 Framing: Verb:receive,TN: 44 Framing: Verb:receive,TN: 44 Framing: Verb:receive,TN: 44 Framing: Verb:receive
48,TN: 44 Framing: Verb:be,TN: 44 Framing: Verb:be,TN: 45 Framing: Verb:be,TN: 45 Framing: Verb:be,TN: 45 Framing: Verb:be,TN: 45 Framing: Verb:be,TN: 45 Framing: Verb:be
49,TN: 45 Framing: Verb:notifed,TN: 45 Framing: Verb:notifed,TN: 46 Framing: Verb:notifed,TN: 46 Framing: Verb:notifed,TN: 46 Framing: Verb:notifed,TN: 46 Framing: Verb:notifed,TN: 46 Framing: Verb:notifed
